pass@1,step,seed,run_id
0.033203125,4,42,oasf8hzh
0.041015625,12394,42,oasf8hzh
0.048828125,24785,42,oasf8hzh
0.09765625,37176,42,oasf8hzh
0.1015625,49567,42,oasf8hzh
0.103515625,61958,42,oasf8hzh
0.12109375,74348,42,oasf8hzh
0.134765625,86739,42,oasf8hzh
0.1640625,99130,42,oasf8hzh
0.255859375,111521,42,oasf8hzh
0.185546875,123912,42,oasf8hzh
0.2421875,136302,42,oasf8hzh
0.138671875,148693,42,oasf8hzh
0.021484375,4,1337,9ve28ero
0.056640625,12394,1337,9ve28ero
0.03125,24785,1337,9ve28ero
0.099609375,37176,1337,9ve28ero
0.0859375,49567,1337,9ve28ero
0.10546875,61958,1337,9ve28ero
0.125,74348,1337,9ve28ero
0.12109375,86739,1337,9ve28ero
0.1328125,99130,1337,9ve28ero
0.25390625,111521,1337,9ve28ero
0.1484375,123912,1337,9ve28ero
0.228515625,136302,1337,9ve28ero
0.126953125,148693,1337,9ve28ero
0.02734375,4,2024,b51nbsps
0.04296875,12394,2024,b51nbsps
0.041015625,24785,2024,b51nbsps
0.0703125,37176,2024,b51nbsps
0.087890625,49567,2024,b51nbsps
0.103515625,61958,2024,b51nbsps
0.126953125,74348,2024,b51nbsps
0.125,86739,2024,b51nbsps
0.166015625,99130,2024,b51nbsps
0.271484375,111521,2024,b51nbsps
0.20703125,123912,2024,b51nbsps
0.220703125,136302,2024,b51nbsps
0.154296875,148693,2024,b51nbsps
0.025390625,4,9999,pvbqpg8t
0.04296875,12394,9999,pvbqpg8t
0.044921875,24785,9999,pvbqpg8t
0.099609375,37176,9999,pvbqpg8t
0.099609375,49567,9999,pvbqpg8t
0.10546875,61958,9999,pvbqpg8t
0.130859375,74348,9999,pvbqpg8t
0.12109375,86739,9999,pvbqpg8t
0.16015625,99130,9999,pvbqpg8t
0.2734375,111521,9999,pvbqpg8t
0.1953125,123912,9999,pvbqpg8t
0.25,136302,9999,pvbqpg8t
0.162109375,148693,9999,pvbqpg8t
